parent_sku,store,store_name,product,category,subcategory,sizes_selling,sizes_total,product_age_weeks,stock_on_hand,weeks_of_cover,current_list_price,current_price,current_discount,current_velocity,recommended_price,recommended_discount,expected_velocity,current_weekly_rev,expected_weekly_rev,rev_delta,urgency,reasons,model_confidence,action_type
HK1171851BBLC,7501,Hoka Costanera,M TRANSPORT 2 BBLC,Footwear,Trail Running,2,3,0,2.0,1.0,154990,129990,15%,2.0,154990,Full price,1.5,259980,232485,-27495,INCREASE,Selling 2.0 u/sem at 15% off -- test higher price,0.086,increase
HK1162012NYZS,7501,Hoka Costanera,W BONDI 9 NYZS,Footwear,Running,1,5,1,1.0,1.0,174990,139990,20%,1.0,148990,15%,0.8,139992,111742,-28249,INCREASE,Selling 1.0 u/sem at 20% off -- test higher price,0.926,increase
HK1147791PTYB,7502,Hoka Marina,SPEEDGOAT 6 PTYB M,Footwear,Running,2,9,15,3.0,1.5,154990,107990,30%,2.0,123990,20%,1.5,217000,185985,-31015,INCREASE,Selling 2.0 u/sem at 30% off -- test higher price,0.082,increase
HK1147791OSH,7501,Hoka Costanera,SPEEDGOAT 6 OSH M,Footwear,Running,2,11,16,2.0,0.9,154990,107990,30%,2.2,123990,20%,1.7,244125,209233,-34891,INCREASE,Selling 2.2 u/sem at 30% off -- test higher price; Sales accelerating,0.999,increase
HK1162031BHRS,AB75,Centro Logistico Hoka,CLIFTON 10 BHRS W,Footwear,Running,1,10,23,16.0,10.7,149990,119990,20%,1.5,126990,15%,1.1,179988,142863,-37124,INCREASE,Selling 1.5 u/sem at 20% off -- test higher price,0.978,increase
HK1162011SLHK,AB75,Centro Logistico Hoka,BONDI 9 SLHK M,Footwear,Running,1,10,24,1.0,0.8,169990,156990,15%,1.2,169990,Full price,0.9,196551,159365,-37185,INCREASE,Selling 1.2 u/sem at 15% off -- test higher price; Sales accelerating,0.999,increase
HK1155152TRFF,7502,Hoka Marina,SPEEDGOAT 6 MID GTX TRFF M,Footwear,Running,2,9,24,2.0,0.8,197990,138990,30%,2.5,157990,20%,1.9,346500,296231,-50268,INCREASE,Selling 2.5 u/sem at 30% off -- test higher price,0.99,increase
HK1147790BWHT,7502,Hoka Marina,MACH 6 BWHT M,Footwear,Running,4,11,18,6.0,1.2,139990,83990,40%,4.8,97990,30%,3.6,406000,355213,-50786,INCREASE,Selling 4.8 u/sem at 40% off -- test higher price,0.996,increase
HK1162012NYZS,AB75,Centro Logistico Hoka,W BONDI 9 NYZS,Footwear,Running,2,5,0,14.0,7.0,174990,156990,15%,2.0,174990,Full price,1.5,314982,262485,-52497,INCREASE,Selling 2.0 u/sem at 15% off -- test higher price,0.18,increase
HK1162031VCH,AB75,Centro Logistico Hoka,W CLIFTON 10 VCH,Footwear,Running,2,7,2,26.0,13.0,149990,138990,15%,2.0,149990,Full price,1.5,277482,224985,-52497,INCREASE,Selling 2.0 u/sem at 15% off -- test higher price,0.173,increase
HK1171932MLFD,AB75,Centro Logistico Hoka,M GAVIOTA 6 MLFD,Footwear,Running,3,7,0,18.0,6.0,179990,152990,15%,3.0,179990,Full price,2.2,458976,404977,-53998,INCREASE,Selling 3.0 u/sem at 15% off -- test higher price,0.107,increase
HK1171928VMR,AB75,Centro Logistico Hoka,M SPEEDGOAT 7 VMR,Footwear,Trail Running,2,4,0,19.0,9.5,164990,131990,20%,2.0,139990,15%,1.5,263984,209985,-53999,INCREASE,Selling 2.0 u/sem at 20% off -- test higher price,0.067,increase
HK1147811GMC,7501,Hoka Costanera,SPEEDGOAT 6 GMC W,Footwear,Running,3,10,19,4.0,1.1,154990,107990,30%,3.5,123990,20%,2.6,379750,325473,-54276,INCREASE,Selling 3.5 u/sem at 30% off -- test higher price; Sales accelerating,1.0,increase
HK1162012VCH,AB75,Centro Logistico Hoka,W BONDI 9 VCH,Footwear,Running,2,8,2,21.0,8.4,174990,154990,15%,2.5,174990,Full price,1.9,388260,328106,-60153,INCREASE,Selling 2.5 u/sem at 15% off -- test higher price,0.776,increase
