parent_sku,store,store_name,product,category,subcategory,sizes_selling,sizes_total,product_age_weeks,current_list_price,current_price,current_discount,current_velocity,recommended_price,recommended_discount,expected_velocity,current_weekly_rev,expected_weekly_rev,rev_delta,urgency,reasons,model_confidence,action_type
BMWSS061601S3,B052,Bamers Coquimbo,WOMEN SLIPPER CLASSIC BUCKLE BLACK 41,Footwear,Slipper,1,7,167,39990,39990,0%,1.0,27990,30%,3.0,39990,83970,43980,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.992,decrease
BMUSN090316,B047,Bamers Plaza Norte II,UNISEX BLOOM WHITE 34,Footwear,Sneakers,1,6,31,24990,24990,0%,1.2,14990,40%,5.0,31237,74950,43712,MEDIUM,Size curve breaking (40% attrition); Product is 31 weeks old; Discounted in other channels,0.993,decrease
BMWSN079516W25,B047,Bamers Plaza Norte II,WOMEN NEW CANVAS PLATFORM II WHITE 38,Footwear,Sneakers,1,6,60,24990,16990,30%,1.0,14990,40%,4.0,16990,59960,42970,MEDIUM,Product is 60 weeks old,1.0,decrease
BMWSN079516W25,B058,Bamers Florida Center II,WOMEN NEW CANVAS PLATFORM II WHITE 38,Footwear,Sneakers,1,6,60,24990,16990,30%,1.0,14990,40%,4.0,16990,59960,42970,MEDIUM,Size curve breaking (33% attrition); Product is 60 weeks old,1.0,decrease
BMBTCL031980S2,B046,Bamers Plaza Vespucio II,UNISEX AIRLINE NAVY WHITE 30,Footwear,Clogs,1,6,167,19990,13990,30%,1.2,11990,40%,5.0,17487,59950,42462,MEDIUM,Product is 167 weeks old,1.0,decrease
BMWSN074601W25,B054,Bamers Mall Plaza La Sere,WOMEN MUNICH II BLACK 35,Footwear,Sneakers,1,6,63,24990,17990,30%,1.0,14990,40%,4.0,17500,59960,42460,MEDIUM,Product is 63 weeks old,0.998,decrease
BMWSN079516W25,B003,Bamers Open Plaza Rancagu,WOMEN NEW CANVAS PLATFORM II WHITE 38,Footwear,Sneakers,1,6,59,24990,17990,30%,1.0,14990,40%,4.0,17500,59960,42460,MEDIUM,Size curve breaking (33% attrition); Product is 59 weeks old,1.0,decrease
BMWSN079516W25,B046,Bamers Plaza Vespucio II,WOMEN NEW CANVAS PLATFORM II WHITE 38,Footwear,Sneakers,1,6,59,24990,17990,30%,1.0,14990,40%,4.0,17500,59960,42460,MEDIUM,Size curve breaking (50% attrition); Product is 59 weeks old,1.0,decrease
BMKSN073816S5,B049,Bamers El Trebol II,UNISEX KIDS KEPLER ATHLETIC WHITE 26,Footwear,Sneakers,1,5,70,19990,13990,30%,1.2,11990,40%,5.0,17500,59950,42450,MEDIUM,Product is 70 weeks old,1.0,decrease
BMKSN073816S5,B050,Bamers Curico II,UNISEX KIDS KEPLER ATHLETIC WHITE 26,Footwear,Sneakers,1,5,71,19990,13990,30%,1.2,11990,40%,5.0,17500,59950,42450,MEDIUM,Product is 71 weeks old,1.0,decrease
BMTCL004301W2,B050,Bamers Curico II,REFUGIO LINE BLACK  35,Footwear,Clogs,1,6,166,26990,21990,20%,1.0,15990,40%,4.0,21600,63960,42360,MEDIUM,Size curve breaking (33% attrition); Product is 166 weeks old,1.0,decrease
